a9a338de-6ddd-11ea-9ba4-ccda262736ce	How many elements, in total, are joined together to form magnesium chloride?	start physical_unit 2 2 number none qc_end substance 10 11 qc_end end
abc6cb3e-6ddd-11ea-ba97-ccda262736ce	C3H7OH is propanol. Suppose you have 85.9 g sample of propanol. How many carbon atoms are in the sample?	start physical_unit 13 14 number none qc_end physical_unit 0 0 6 7 mass qc_end end
ab1bec4a-6ddd-11ea-b05f-ccda262736ce	How do you use the Henderson-Hasselbalch to calculate the pH of a buffer solution that is 0.50 M in NH3 and 0.20 M in NH4Cl? For ammonia, pKb = 4.75.	start physical_unit 12 13 ph none qc_end c_other Henderson-Hasselbalch qc_end physical_unit 19 19 16 17 molarity qc_end physical_unit 24 24 21 22 molarity qc_end physical_unit 26 26 29 29 pkb qc_end end
aa31ff10-6ddd-11ea-99c7-ccda262736ce	How many particles are in 6.84 grams of Li2CO3? It is 73.890 g/mol.	start physical_unit 2 2 number none qc_end physical_unit 8 8 5 6 mass qc_end physical_unit 8 8 11 12 molar_mass qc_end end
ad07ef0a-6ddd-11ea-93fe-ccda262736ce	What is the volume of 2 mol of oxygen, O2, at STP?	start physical_unit 9 9 volume ml qc_end physical_unit 9 9 5 6 mole qc_end c_other STP qc_end end
ab12a662-6ddd-11ea-b0ce-ccda262736ce	A 10.0 mL sample of H2SO4 solution from an automobile battery requires 32.75 mL of 1 M NaOH for a complete reaction. What is the molarity of the H2SO4 solution?	start physical_unit 3 6 molarity mol/l qc_end physical_unit 3 6 1 2 volume qc_end physical_unit 17 17 12 13 molarity qc_end physical_unit 6 6 15 16 volume qc_end c_other OTHER qc_end end
aa6ad25c-6ddd-11ea-bbb8-ccda262736ce	3A chemical reaction produces 653 550 kJ of energy as heat in 142.3 min. What is the rate of energy transfer in kilojoules per minute?	start physical_unit 2 2 energy_transfer_rate kj/min qc_end physical_unit 2 2 4 6 heat_energy qc_end physical_unit 2 2 12 13 time qc_end end
a9cd71f6-6ddd-11ea-ac93-ccda262736ce	A gas is found to have a density of 1.80 g/L at 76 mmHg and 27 °C. The gas is?	start chemical_formula qc_end physical_unit 17 18 9 10 density qc_end physical_unit 17 18 12 13 pressure qc_end physical_unit 17 18 15 16 temperature qc_end end
aad18ed0-6ddd-11ea-81db-ccda262736ce	A sample of nitrogen gas is collected over water at 20 °C. The vapor pressure of water at 20 °C is 18 mmHg. What is the partial pressure of the nitrogen if the total pressure is 765 mmHg?	start physical_unit 29 30 partial_pressure mmhg qc_end physical_unit 1 4 10 11 temperature qc_end physical_unit 8 8 21 22 vapor_pressure qc_end physical_unit 8 8 10 11 temperature qc_end end
aa8df0d9-6ddd-11ea-a162-ccda262736ce	How many moles is 573.28 g of AgCl?	start physical_unit 7 7 mole mol qc_end physical_unit 7 7 4 5 mass qc_end end
ab001b62-6ddd-11ea-8447-ccda262736ce	What is the mass in grams of 3.5 moles Ca?	start physical_unit 9 9 mass g qc_end physical_unit 9 9 7 8 mole qc_end end
aa78c8ac-6ddd-11ea-a2cc-ccda262736ce	How do you convert 3.01 × 10^23 atoms of silicon to moles of silicon?	start physical_unit 9 9 mole mol qc_end end
a9412b42-6ddd-11ea-8398-ccda262736ce	Ammonia gas decomposes according to the equation: 2 NH3(g) -> N2(g) + 3 H2(g). If 15.0 L of nitrogen is formed at STP, how many liters of hydrogen will be produced (also measured at STP)?	start physical_unit 27 27 volume l qc_end chemical_equation 7 13 qc_end physical_unit 18 18 15 16 volume qc_end c_other STP qc_end end
abc96309-6ddd-11ea-a1d0-ccda262736ce	How do you balance the equation N2O5 -> NO2 + O2?	start chemical_equation qc_end chemical_equation 6 10 qc_end end
abfb77a8-6ddd-11ea-88e9-ccda262736ce	A helium-filled balloon escapes a child's hand at sea level and 23.0 °C. When it reaches an altitude of 3000 m, where the temperature is 4.4 °C and the pressure is only 0.71 atm, how will its volume compare to that at sea level?	start physical_unit 36 43 times none qc_end c_other OTHER qc_end physical_unit 1 2 11 12 temperature qc_end physical_unit 1 2 19 20 altitude qc_end physical_unit 1 2 25 26 temperature qc_end physical_unit 1 2 32 33 pressure qc_end end
a8408080-6ddd-11ea-baa1-ccda262736ce	What is the formula for sodium sulfate?	start chemical_formula qc_end substance 5 6 qc_end end
ac6d7e62-6ddd-11ea-9783-ccda262736ce	How many moles are there in 1.5 g of ethanol, CH3CH2OH?	start physical_unit 10 10 mole mol qc_end physical_unit 10 10 6 7 mass qc_end end
aa7315c3-6ddd-11ea-914f-ccda262736ce	How many moles of chlorine gas will be required to react with sufficient iron to produce 14 moles of iron (III) chloride? 2 Fe(s) + 3 Cl2(g) -> 2 FeCl3(g)	start physical_unit 4 5 mole mol qc_end physical_unit 19 21 16 17 mole qc_end chemical_equation 22 29 qc_end c_other OTHER qc_end end
a9f63be4-6ddd-11ea-8851-ccda262736ce	How many grams are there in 4.5 × 10^22 formula units of Ba(NO2)2?	start physical_unit 12 12 mass g qc_end end
ace4ba5a-6ddd-11ea-9466-ccda262736ce	100.0 mL of a pH = 2.600 solution of hydrochloric acid is diluted with pure water to a new volume of 200.0 mL. Calculate the pH of the new solution?	start physical_unit 28 29 ph none qc_end physical_unit 7 7 0 1 volume qc_end physical_unit 28 29 21 22 volume qc_end substance 14 15 qc_end end
a94c4bdc-6ddd-11ea-afd5-ccda262736ce	What mass of magnesium contains the same number of atoms as 8.0 g of calcium?	start physical_unit 3 3 mass g qc_end physical_unit 14 14 11 12 mass qc_end c_other OTHER qc_end end
aa59e2c8-6ddd-11ea-8bbf-ccda262736ce	Under a pressure of 1.2 atm a gas occupies an 8 mL volume in a piston. What pressure develops if the volume is increased to 12 mL?	start physical_unit 7 7 pressure atm qc_end physical_unit 7 7 10 11 volume qc_end physical_unit 7 7 4 5 pressure qc_end physical_unit 7 7 25 26 volume qc_end end
aab3b2d3-6ddd-11ea-ad8a-ccda262736ce	What is the molecular formula of a compound that has a molecular mass of 54 g/mol and the empirical formula C2H3?	start chemical_formula qc_end physical_unit 7 7 14 15 molecular_weight qc_end c_other OTHER qc_end end
ac647ee8-6ddd-11ea-8523-ccda262736ce	Copper will react with sulfur to form a copper sulfide, if 1.500 g copper reacts with sulfur to form 1.880 g of copper sulfide, what is the empirical formula of the copper sulfide?	start chemical_formula qc_end physical_unit 0 0 11 12 mass qc_end physical_unit 8 9 19 20 mass qc_end substance 4 4 qc_end end
a840807f-6ddd-11ea-a8e4-ccda262736ce	Silicon tetrachloride (SiCl4) can be prepared by heating Si in chlorine gas: Si(s) + 2 Cl2(g) -> SiCl4(l). In one reaction, 0.507 mole of SiCl4 is produced. How many moles of molecular chlorine were used in the reaction?	start physical_unit 31 32 mole mol qc_end chemical_equation 12 17 qc_end physical_unit 2 2 21 22 mole qc_end end
a90693a8-6ddd-11ea-abee-ccda262736ce	How do you make a 600 mL volume of 20% (w/w) caustic soda in water?	start physical_unit 11 12 mass g qc_end physical_unit 11 14 9 9 w/w qc_end end
ab43a622-6ddd-11ea-9891-ccda262736ce	How do you balance NH3 + H2SO4 -> (NH4)2SO4?	start chemical_equation qc_end chemical_equation 4 8 qc_end end
aab45b28-6ddd-11ea-81db-ccda262736ce	How many hydrogen atoms are in five molecules of H2O?	start physical_unit 2 3 number none qc_end end
aa7e3fd8-6ddd-11ea-a641-ccda262736ce	How would you use the Henderson-Hasselbalch equation to calculate the pH of a buffer solution that is 0.27 M in formic acid (HCO2H) and 0.50 M in sodium formate (HCO2Na)?	start physical_unit 13 14 ph none qc_end physical_unit 22 22 17 18 molarity qc_end physical_unit 29 29 24 25 molarity qc_end c_other OTHER qc_end end
ab5601f6-6ddd-11ea-a801-ccda262736ce	If lithium has a first ionisation energy of 520 kJ/mol, estimate the energy required to form 1 Li+ ion from 1 Li atom?	start physical_unit 17 18 energy j qc_end physical_unit 1 1 8 9 first_ionisation_energy qc_end physical_unit 21 22 16 16 number qc_end physical_unit 17 18 16 16 number qc_end end
ac0d5a28-6ddd-11ea-8f5f-ccda262736ce	How many grams of Iron(II) sulfide will dissolve per liter in a 0.20 M sodium sulfide solution? Ksp = 4.9 × 10^(-18)	start physical_unit 4 5 mass g qc_end physical_unit 14 16 12 13 molarity qc_end physical_unit 14 15 19 21 equilibrium_constant_k qc_end end
aabd7fb6-6ddd-11ea-952d-ccda262736ce	How many moles are equivalent to 2.50 × 10^20 atoms of Fe?	start physical_unit 11 11 mole mol qc_end end
ace33b4b-6ddd-11ea-84ec-ccda262736ce	How many moles of gas at 5.60 atm and 300 K will occupy a volume of 10.0 L?	start physical_unit 4 4 mole mol qc_end physical_unit 4 4 9 10 temperature qc_end physical_unit 4 4 6 7 pressure qc_end physical_unit 4 4 16 17 volume qc_end end
ad21794c-6ddd-11ea-bdd8-ccda262736ce	What amount of heat is required to completely melt a 29.95 grams sample of H2O(s) at 0 °C?	start physical_unit 12 14 heat_energy kj qc_end physical_unit 12 14 16 17 temperature qc_end physical_unit 12 14 10 11 mass qc_end c_other OTHER qc_end end
ab213a3b-6ddd-11ea-a126-ccda262736ce	What is the formula for this reaction: Sulfuric acid reacts with potassium hydroxide to produce potassium sulfate and water?	start chemical_equation qc_end substance 11 12 qc_end substance 7 8 qc_end substance 15 16 qc_end substance 18 18 qc_end end
ab72c3e5-6ddd-11ea-99c8-ccda262736ce	Using the ideal gas formula, calculate the volume of 1.50 moles of a gas at 115 kPa and a temperature of 298 K?	start physical_unit 1 3 volume l qc_end physical_unit 1 3 9 10 mole qc_end physical_unit 1 3 15 16 pressure qc_end physical_unit 1 3 21 22 temperature qc_end end
a94c234f-6ddd-11ea-b59c-ccda262736ce	When an aqueous solution at room temperature is analyzed, the [H+] is found to be 2.0 × 10^(-3) M. What is the [OH-]?	start physical_unit 2 3 [oh-] mol/l qc_end physical_unit 2 3 15 18 [h+] qc_end c_other OTHER qc_end end
ab5b616c-6ddd-11ea-ba60-ccda262736ce	What volume does 4.68 g H2O occupy at STP?	start physical_unit 5 5 volume ml qc_end physical_unit 5 5 3 4 mass qc_end c_other STP qc_end end
aa53531e-6ddd-11ea-912e-ccda262736ce	At 340 K and 1 atm, N2O4 is 66% dissociated into NO2. What volume would 10 g of N2O4 occupy under these conditions?	start physical_unit 6 6 volume l qc_end physical_unit 6 6 1 2 temperature qc_end physical_unit 6 6 4 5 pressure qc_end physical_unit 6 6 15 16 mass qc_end end
ab7115fa-6ddd-11ea-a81e-ccda262736ce	What is the total mass of KNO3 that must be dissolved in 50 grams of  H2O at 60 °C to make a saturated solution?	start physical_unit 6 6 mass g qc_end physical_unit 15 15 12 13 mass qc_end physical_unit 15 15 17 18 temperature qc_end c_other OTHER qc_end end
ac036523-6ddd-11ea-b82a-ccda262736ce	What is the volume of hydrogen produced at room temperature and pressure, when 0.2 mol of sodium is reacted with an excess of water? [1 mol of gas occupies 24 dm^3 at room temperature and pressure.] 2 Na(s) + 2 H2O(l) -> 2 NaOH(aq) + H2(g)	start physical_unit 5 5 volume dm^3 qc_end c_other OTHER qc_end physical_unit 16 16 13 14 mole qc_end c_other OTHER qc_end physical_unit 27 27 24 25 mole qc_end physical_unit 27 27 29 30 volume qc_end chemical_equation 36 45 qc_end end
abb250cf-6ddd-11ea-a764-ccda262736ce	Given the reaction 2 C3H7OH + 9 O2 -> CO2 + 8 H2O, how many moles of oxygen are needed to react with 3.40 mol C3H7OH?	start physical_unit 17 17 mole mol qc_end physical_unit 4 4 23 24 mole qc_end chemical_equation 3 12 qc_end end
aaafbbba-6ddd-11ea-84b4-ccda262736ce	For this reaction Ti(s) + 2 F2(g) -> TiF4(s), what is the theoretical yield of the product, in grams, if you start with 4.8 g Ti and 3.2 g F2 ?	start physical_unit 15 16 theoretical_yield g qc_end physical_unit 3 3 23 24 mass qc_end physical_unit 6 6 27 28 mass qc_end chemical_equation 3 8 qc_end end
a8d93098-6ddd-11ea-a244-ccda262736ce	What is the density of chlorine gas at 1.21 atm and 34.9 °C?	start physical_unit 5 6 density g/l qc_end physical_unit 5 6 8 9 pressure qc_end physical_unit 5 6 11 12 temperature qc_end end
aab9fd5e-6ddd-11ea-acf5-ccda262736ce	How many hydrogen atoms are in 5 molecules of isopropyl alcohol, C3H7O?	start physical_unit 2 3 number none qc_end end
acb24937-6ddd-11ea-8ded-ccda262736ce	What is the formula of alumina?	start chemical_formula qc_end substance 5 5 qc_end end
ac9615e5-6ddd-11ea-9027-ccda262736ce	How much potassium nitrate do you think could dissolve in 100 mL of water at 60 °C?	start physical_unit 2 3 mass g qc_end physical_unit 13 13 10 11 volume qc_end physical_unit 13 13 15 16 temperature qc_end end
ace2becd-6ddd-11ea-aa69-ccda262736ce	How many hydrogen atoms are represented in the formula (CH3)2CH2?	start physical_unit 2 3 number none qc_end chemical_equation 9 9 qc_end end
aa6972f9-6ddd-11ea-9e8d-ccda262736ce	Iron is extracted from iron ore. Part of the process involves reduction of the ore with carbon monoxide. Iron ore contains iron oxide (Fe2O3). How would you write a balanced equation for the reaction of iron oxide with carbon monoxide?	start chemical_equation qc_end chemical_equation 23 23 qc_end substance 16 17 qc_end end
ac577500-6ddd-11ea-8014-ccda262736ce	How do you write a balanced chemical equation for the reaction of magnesium solid with sulfuric acid to form hydrogen gas and magnesium sulfate?	start chemical_equation qc_end substance 12 13 qc_end substance 15 16 qc_end substance 19 20 qc_end substance 22 23 qc_end end
ac7ff400-6ddd-11ea-bf1f-ccda262736ce	How many hydroxide ions are needed to completely neutralize 1.0 liter of 0.50 M HCl?	start physical_unit 2 3 number none qc_end physical_unit 14 14 12 13 molarity qc_end c_other OTHER qc_end end
ac0eb494-6ddd-11ea-9bce-ccda262736ce	Hydroxylamine, HONH2 is a weak Bronsted base with Kb = 10^(-8). What is pH for a 0.024 mol/L solution?	start physical_unit 18 18 ph none qc_end physical_unit 1 1 10 10 kb qc_end physical_unit 1 1 16 17 molarity qc_end end
acdf674c-6ddd-11ea-ba40-ccda262736ce	How many moles of carbon are produced when 1745 g of glucose decomposes?	start physical_unit 4 4 mole mol qc_end physical_unit 11 11 8 9 mass qc_end end
ac03da24-6ddd-11ea-85d4-ccda262736ce	What is the equation for sodium and chlorine react to form sodium chloride?	start chemical_equation qc_end substance 5 5 qc_end substance 7 7 qc_end substance 11 12 qc_end end
ab26a25d-6ddd-11ea-ae49-ccda262736ce	What is the oxidation number of the metal in GaCl2?	start physical_unit 6 7 oxidation_number none qc_end chemical_equation 9 9 qc_end end
a8501837-6ddd-11ea-84e7-ccda262736ce	The pH of a solution is 8.7, what is the pOH?	start physical_unit 4 4 poh none qc_end physical_unit 4 4 6 6 ph qc_end end
ac863642-6ddd-11ea-bd14-ccda262736ce	What is the mass of 12.04 × 10^23 formula units of MgCl2?	start physical_unit 11 11 mass g qc_end end
a9428323-6ddd-11ea-9cb6-ccda262736ce	What is the concentration of hydrochloric acid solution if 6.68 ml is neutralised by 13.90 ml of 0.0161 M potassium hydroxide solution ?	start physical_unit 5 7 concentration mol/l qc_end physical_unit 5 7 9 10 volume qc_end physical_unit 19 21 14 15 volume qc_end physical_unit 19 21 17 18 concentration qc_end end
ab265446-6ddd-11ea-9790-ccda262736ce	1.09 g H2 is allowed to react with 10.2 g N2, producing 1.12 g NH3. What is the theoretical yield in grams for this reaction under the given conditions?	start physical_unit 23 24 theoretical_yield g qc_end physical_unit 2 2 0 1 mass qc_end physical_unit 10 10 8 9 mass qc_end physical_unit 14 14 12 13 mass qc_end end
a8941d58-6ddd-11ea-b9b6-ccda262736ce	How many moles of oxygen gas are required to combust a 4 mol quantity of acetylene completely?	start physical_unit 4 5 mole mol qc_end physical_unit 15 15 11 12 mole qc_end c_other OTHER qc_end end
ac999935-6ddd-11ea-bace-ccda262736ce	How many moles of chlorine gas are needed to make 0.6 moles of sodium chloride given the reaction: 2 Na + Cl2 -> 2 NaCl?	start physical_unit 4 5 mole mol qc_end physical_unit 13 14 10 11 mole qc_end chemical_equation 18 24 qc_end end
a867ea55-6ddd-11ea-b2b2-ccda262736ce	What mass of oxygen is required to react with 150.0 g of benzene?	start physical_unit 3 3 mass g qc_end physical_unit 12 12 9 10 mass qc_end c_other reaction qc_end end
ac101374-6ddd-11ea-b900-ccda262736ce	What is the empirical formula for C3H6O3?	start chemical_formula qc_end chemical_equation 6 6 qc_end end
a8641a1c-6ddd-11ea-a90d-ccda262736ce	What is the molar mass of silver nitrate?	start physical_unit 6 7 molar_mass g/mol qc_end substance 6 7 qc_end end
abda6a28-6ddd-11ea-b4f0-ccda262736ce	At what temperature can we dissolve equal amounts of ammonium chloride and hydrogen chloride in the same amount of water?	start physical_unit 19 19 temperature °c qc_end c_other OTHER qc_end end
a918d8ae-6ddd-11ea-a151-ccda262736ce	How many water molecules are in 39 formula units of calcium chloride dihydrate?	start physical_unit 2 3 number none qc_end end
ac2fa406-6ddd-11ea-8cd7-ccda262736ce	How many moles are there in 400.0 grams of carbon?	start physical_unit 9 9 mole mol qc_end physical_unit 9 9 6 7 mass qc_end end
ab6d7512-6ddd-11ea-a5ee-ccda262736ce	How many grams of CO are needed to to produce 442 grams of Fe? 1 Fe2O3 + 3 CO -> 3 CO2 + 2 Fe	start physical_unit 4 4 mass g qc_end chemical_equation 14 24 qc_end physical_unit 13 13 10 11 mass qc_end end
a92b7b06-6ddd-11ea-b751-ccda262736ce	What is the total mass of iron in 1.0 mole of Fe2O3?	start physical_unit 6 6 mass g qc_end physical_unit 11 11 8 9 mole qc_end end
a98d4437-6ddd-11ea-bfb4-ccda262736ce	What is the density of methyl chloride gas, CH3Cl, at STP?	start physical_unit 8 8 density g/ml qc_end c_other STP qc_end end
ab802626-6ddd-11ea-9190-ccda262736ce	What does a solution with a hydronium ion concentration of 10^(-11) M have a pH of?	start physical_unit 3 3 ph none qc_end physical_unit 6 7 10 11 concentration qc_end end
ab37dbc2-6ddd-11ea-89f0-ccda262736ce	What is the metal oxidation state in Fe(SO4)2?	start physical_unit 3 3 oxidation_state none qc_end end
a8c02a1d-6ddd-11ea-8322-ccda262736ce	What is the chemical formula for silver sulfate?	start chemical_formula qc_end substance 6 7 qc_end end
aa335e8c-6ddd-11ea-934e-ccda262736ce	If the solubility of a compound is 36 grams per liter, how many grams of the compound will dissolve in 5 liters?	start physical_unit 15 16 mass g qc_end physical_unit 15 16 7 10 solubility qc_end end
a9be293e-6ddd-11ea-b1a3-ccda262736ce	Calcium carbonate, CaCO3 has a Ksp value of 1.4 × 10^(−8), what is the solubility of CaCO3?	start physical_unit 2 2 solubility g/l qc_end physical_unit 2 2 8 10 equilibrium_constant_k qc_end end
a91dd41d-6ddd-11ea-a979-ccda262736ce	How many grams are in 5.66 mol of CaCO3?	start physical_unit 8 8 mass g qc_end physical_unit 8 8 5 6 mole qc_end end
abef1bf0-6ddd-11ea-89f0-ccda262736ce	How do you write a chemical formula for the following scenario: Nitric acid is a component of acid rain that forms when gaseous nitrogen dioxide pollutant reacts with gaseous oxygen and liquid water to form aqueous nitric acid?	start chemical_equation qc_end substance 35 37 qc_end substance 22 24 qc_end substance 28 29 qc_end substance 31 32 qc_end end
ab3c96ec-6ddd-11ea-b48e-ccda262736ce	What is the mass, in grams, of 3.40 × 10^22 atoms He?	start physical_unit 11 11 mass g qc_end end
a8af0f6e-6ddd-11ea-b3e2-ccda262736ce	How many grams of H3PO4 are produced when 10.0 moles of water react with an excess of P4O10?	start physical_unit 4 4 mass g qc_end physical_unit 11 11 8 9 mole qc_end c_other OTHER qc_end end
ad1fc9be-6ddd-11ea-9e60-ccda262736ce	The volume of a gas is 27.5 mL at 22 °C and 740 mmHg. What will be its volume at 15.0 °C and 755 mmHg?	start physical_unit 4 4 volume ml qc_end physical_unit 4 4 6 7 volume qc_end physical_unit 4 4 9 10 temperature qc_end physical_unit 4 4 12 13 pressure qc_end physical_unit 4 4 20 21 temperature qc_end physical_unit 4 4 23 24 pressure qc_end end
a9199c34-6ddd-11ea-8a32-ccda262736ce	How do I calculate the pH of the buffer solution when 1.00 g of potassium ethanoate is dissolved in 50.0 cm^3 of 0.20 mol/dm^3 ethanoic acid (Ka = 1.74 × 10^(−5))?	start physical_unit 7 9 ph none qc_end physical_unit 14 15 11 12 mass qc_end physical_unit 24 25 19 20 volume qc_end physical_unit 24 25 22 23 molarity qc_end physical_unit 24 25 28 30 ka qc_end end
a94bd56f-6ddd-11ea-b630-ccda262736ce	In the chemical reaction C6H6OS + 8 O2 -> 6 CO2 + 3 H2O + SO2, how many moles of C6H6OS are needed to react with 317 g O2?	start physical_unit 4 4 mole mol qc_end chemical_equation 4 15 qc_end physical_unit 7 7 26 27 mass qc_end end
a8f000a6-6ddd-11ea-a867-ccda262736ce	A sample of gas X occupies 10 m^3 at the pressure of 120 kPa. If the volume of the sample is 3 m^3, what is the new pressure of the gas?	start physical_unit 29 30 pressure kpa qc_end physical_unit 1 4 6 7 volume qc_end physical_unit 1 4 12 13 pressure qc_end physical_unit 18 19 21 22 volume qc_end end
ab19e728-6ddd-11ea-9f60-ccda262736ce	What mass of KC2H3O2 is produced when 10.0 L CO2 is produced from potassium carbonate and excess acetic acid?	start physical_unit 3 3 mass g qc_end physical_unit 9 9 7 8 volume qc_end substance 13 14 qc_end c_other OTHER qc_end end
ac0476ac-6ddd-11ea-a2f5-ccda262736ce	How much heat is released when 88.2 g of water cools from 33.8 °C to 12.9 °C?	start physical_unit 9 9 heat_energy j qc_end physical_unit 9 9 6 7 mass qc_end physical_unit 9 9 12 13 temperature qc_end physical_unit 9 9 15 16 temperature qc_end end
a9d566ba-6ddd-11ea-bb38-ccda262736ce	A piece of gold initially at a temperature of 25.1 °C absorbs 675 J of heat, raising its temperature to 57.4 °C. Assuming the specific heat of gold is 0.126 J/(g * °C), what is the mass of the sample?	start physical_unit 38 39 mass g qc_end physical_unit 3 3 29 32 specific_heat qc_end end
acde559e-6ddd-11ea-9af3-ccda262736ce	What is the number of moles of hydrogen in three moles of C6H12O6?	start physical_unit 7 7 mole mol qc_end physical_unit 12 12 9 10 mole qc_end end
ace3a967-6ddd-11ea-9acb-ccda262736ce	How many moles of KOH are in a 1 L of a 9 M KOH solution?	start physical_unit 4 4 mole mol qc_end physical_unit 14 15 8 9 volume qc_end physical_unit 14 15 12 13 molarity qc_end end
ac0fec0b-6ddd-11ea-b9d3-ccda262736ce	At 22.5 °C and 1.25 atm pressure, a sample of carbon dioxide gas occupies a volume of 2.65 L. How many moles of the gas are present?	start physical_unit 23 24 mole mol qc_end physical_unit 8 12 1 2 temperature qc_end physical_unit 8 12 4 5 pressure qc_end physical_unit 8 12 17 18 volume qc_end end
aaa91494-6ddd-11ea-af44-ccda262736ce	How do you complete the equation C8H18 -> C6H14 + _ ?	start chemical_equation qc_end chemical_equation 6 10 qc_end end
ab126134-6ddd-11ea-a610-ccda262736ce	What is the theoretical yield of aluminum oxide if 1.60 mol of aluminum metal is exposed to 1.50 mol of oxygen?	start physical_unit 6 7 theoretical_yield mol qc_end physical_unit 12 13 9 10 mole qc_end physical_unit 20 20 17 18 mole qc_end end
aad44eb8-6ddd-11ea-8330-ccda262736ce	How many grams of Calcium are in 4.55 moles?	start physical_unit 4 4 mass g qc_end physical_unit 4 4 7 8 mole qc_end end
a920dc6c-6ddd-11ea-8daa-ccda262736ce	What is the pOH of a solution with an [OH-] concentration of 9.2 × 10^(-11) M?	start physical_unit 6 6 poh none qc_end physical_unit 6 6 12 15 [oh-] qc_end end
a96626c0-6ddd-11ea-b25a-ccda262736ce	How many moles are present in 34 grams of Cu(OH)2?	start physical_unit 9 9 mole mol qc_end physical_unit 9 9 6 7 mass qc_end end
a8d22b46-6ddd-11ea-9914-ccda262736ce	The specific heat capacity of liquid water is 4.18 kJ/(g * °C), how would you calculate the quantity of energy required to heat 1.00 g of water from 26.5 °C to 83.7 °C?	start physical_unit 6 6 energy j qc_end physical_unit 5 6 8 11 specific_heat qc_end physical_unit 6 6 28 29 temperature qc_end physical_unit 6 6 31 32 temperature qc_end end
aaa35be4-6ddd-11ea-9777-ccda262736ce	What is the concentration in molarity of a 250 mL solution made with 43.4 grams of LiBr?	start physical_unit 16 16 concentration mol/l qc_end physical_unit 10 10 8 9 volume qc_end physical_unit 16 16 13 14 mass qc_end end
aa0de81e-6ddd-11ea-a4e7-ccda262736ce	If 4.00 moles of gasoline are burned, what volume of oxygen is needed if the pressure is 0.953 atm, and the temperature is 35.0 °C?	start physical_unit 10 10 volume l qc_end physical_unit 4 4 1 2 mole qc_end physical_unit 10 10 17 18 pressure qc_end physical_unit 10 10 23 24 temperature qc_end end
ac5c91b5-6ddd-11ea-b44b-ccda262736ce	How many CO2 molecules are in 1.70 × 10^(-2) mole of CO2?	start physical_unit 2 3 number none qc_end physical_unit 2 2 6 9 mole qc_end end
ab1198ba-6ddd-11ea-96bf-ccda262736ce	What is the mass (in grams) of 9.45 × 10^24 molecules of methanol, CH3OH ?	start physical_unit 13 13 mass g qc_end end
abe679ac-6ddd-11ea-ad5c-ccda262736ce	What is the formula for the ionic compound copper bromide containing the Cu+ ion?	start chemical_formula qc_end substance 8 9 qc_end chemical_equation 12 12 qc_end end
aad8b1ca-6ddd-11ea-892d-ccda262736ce	An aqueous solution of 4.62 M potassium bromide, KBr, has a density of 1.37 g/mL. What is the percent by mass of KBr in the solution?	start physical_unit 22 25 mass_percent none qc_end end
a9709001-6ddd-11ea-8f8c-ccda262736ce	If 42.9 mL rubbing alcohol is dissolved of in water to make 215 mL of solution, what is the concentration expressed in volume/volume % of the solute?	start physical_unit 15 15 volume_percent none qc_end physical_unit 3 4 1 2 volume qc_end substance 9 9 qc_end physical_unit 15 15 12 13 volume qc_end end
a9c51f50-6ddd-11ea-ab9b-ccda262736ce	How do we find the solubility of magnesium hydroxide in water in terms of Ksp?	start physical_unit 7 10 solubility mol/l qc_end c_other OTHER qc_end end
abc98a12-6ddd-11ea-a050-ccda262736ce	What is the pH of a solution with a concentration of 2.4 × 10^(-5) M H3O+?	start physical_unit 6 6 ph none qc_end physical_unit 15 15 11 14 concentration qc_end end
a99be5d9-6ddd-11ea-9038-ccda262736ce	Chlorine gas occupies a volume of 1.20 liters at 720 torr pressure. What volume will it occupy at 1 atm pressure? Assume that temperature remains the same.	start physical_unit 0 1 volume l qc_end physical_unit 0 1 6 7 volume qc_end physical_unit 0 1 9 10 pressure qc_end physical_unit 0 1 18 19 pressure qc_end c_other constant_temperature qc_end end
abe4a4e9-6ddd-11ea-b137-ccda262736ce	How many atoms in a mass of one mole of magnesium nitrate?	start physical_unit 2 2 number none qc_end physical_unit 10 11 7 8 mole qc_end end
a9be293f-6ddd-11ea-84b6-ccda262736ce	What is the chemical equation for the neutralization of nitric acid, HNO3, with magnesium hydroxide, Mg(OH)2, first with spectator ions and then without spectator ions?	start chemical_equation qc_end chemical_equation 11 11 qc_end chemical_equation 15 15 qc_end end
aca3f936-6ddd-11ea-9564-ccda262736ce	The amount of heat needed to raise the temperature of 25 g of a substance by 15 °C is 915 J. What is the specific heat of the substance?	start physical_unit 27 28 specific_heat j/(°c_·_g) qc_end physical_unit 27 28 19 20 heat_energy qc_end physical_unit 27 28 10 11 mass qc_end physical_unit 27 28 16 17 temperature qc_end end
ac2b477a-6ddd-11ea-8ef3-ccda262736ce	A given mass of oxygen occupies 200 mL when the pressure is 400 mmHg. What volume will the gas occupy when the pressure is raised to 200 mmHg, provided the temperature remains constant?	start physical_unit 17 18 volume ml qc_end physical_unit 4 4 6 7 volume qc_end physical_unit 4 4 12 13 pressure qc_end physical_unit 4 4 26 27 pressure qc_end c_other constant_temperature qc_end end
aad18ed2-6ddd-11ea-ab16-ccda262736ce	When 2.5 liters of oxygen gas reacts with excess methane how many liters of carbon dioxide is produced?	start physical_unit 14 15 volume l qc_end physical_unit 4 5 1 2 volume qc_end c_other OTHER qc_end end
